node_id,lat,lon,neighbor_edges
37923758,43.0760806,-89.4058755,0;1;2;4474;4509;4526
37923760,43.0765129,-89.4068256,3;4;5;6;1100;1650;2627;4529
37923770,43.0764996,-89.4119183,7;8;9;1568;3230;3428
37923771,43.0764314,-89.4125845,10;11;12;13;227;1227;1230;3969
37924361,43.07509,-89.4062045,14;15;16;2579;2598;2603
53281753,43.0861627,-89.4368679,17;18;19;21;3562;8621
53281760,43.086676,-89.43664,17;20;21;22;7914;8628
53281767,43.087325,-89.437386,23;7939
53281798,43.086158,-89.435195,24;25;26;669;7149;7508
53281807,43.0866108,-89.4352167,27;28;29;33;7148;7151
53281813,43.087255,-89.434928,30;31;32;139;1415;8070
53281941,43.086431,-89.434752,29;33
53282567,43.0709716,-89.4016089,34;3323
53287228,43.0779245,-89.4336524,35;36;37;38;2370;2416;2522;3605
53289475,43.0893999,-89.4335654,39;40;41;1889;7165;7554
53289476,43.0894032,-89.4338557,42;43;44;7164;8663;8755
53295209,43.075954,-89.4334709,45;46;47;2197;3846;5887
53298995,43.0838346,-89.4409315,48;49;50;53;84;646
53299001,43.0837608,-89.4399913,50;51;52;53;54;644
53299003,43.0835808,-89.4398464,51;54;55;56;8482;8572
53299012,43.0829924,-89.4409436,57;58;59;62;549;6760
53299015,43.0829391,-89.4411076,58;60;61;62;63;65;6661;6665
53299016,43.0829091,-89.4411767,63;64;65;66;69;7273
53299018,43.0829331,-89.4412467,66;67;68;69;70;72;6660;6662
53299020,43.0829793,-89.4414505,70;71;72;73;550;7683
53299031,43.0836266,-89.4424783,74;75;76;78;7682;8517
53299037,43.0837598,-89.4423363,74;77;78;79;8515;8533
53299043,43.0838225,-89.4414231,80;81;82;83;647;8501
53299047,43.0838887,-89.4411723,48;81;83;84;85;86;546;649
53326199,43.0751125,-89.4085454,87;88;89;320;1678;4096
53327345,43.0889411,-89.4355464,90;91;92;94;97;8780
53327358,43.0887846,-89.4354876,92;93;94;95;720;8080
53327368,43.089012,-89.435966,91;96;97;98;8779;8782
53327382,43.089627,-89.437095,99;100;101;103;8721;8777
53327385,43.0897839,-89.4372725,101;102;103;104;176;7135
